Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
A01,Reference,AG 1,Protein 1,Negative Control,,,
A02,Sample,AG 1,Protein 1,L-Arabinose,,,
A03,Sample,AG 1,Protein 1,N-Acetyl-D-Glucosamine,,,
A04,Sample,AG 1,Protein 1,D-Saccharic Acid,,,
A05,Sample,AG 1,Protein 1,Succinic Acid,,,
A06,Sample,AG 1,Protein 1,D-Galactose,,,
A07,Sample,AG 1,Protein 1,L-Aspartic Acid,,,
A08,Sample,AG 1,Protein 1,L-Proline,,,
A09,Sample,AG 1,Protein 1,D-Alanine,,,
A10,Sample,AG 1,Protein 1,D-Trehalose,,,
A11,Sample,AG 1,Protein 1,D-Mannose,,,
A12,Sample,AG 1,Protein 1,Dulcitol,,,
B01,Sample,AG 1,Protein 1,D-Serine,,,
B02,Sample,AG 1,Protein 1,D-Sorbitol,,,
B03,Sample,AG 1,Protein 1,Glycerol,,,
B04,Sample,AG 1,Protein 1,L-Fucose,,,
B05,Sample,AG 1,Protein 1,D-Glucuronic Acid,,,
B06,Sample,AG 1,Protein 1,D-Gluconic Acid,,,
B07,Sample,AG 1,Protein 1,DL-Glycerol Phosphate,,
B08,Sample,AG 1,Protein 1,D-Xylose,,,
B09,Sample,AG 1,Protein 1,L-Lactic Acid,,,
B10,Sample,AG 1,Protein 1,Formic Acid,,,
B11,Sample,AG 1,Protein 1,D-Mannitol,,,
B12,Sample,AG 1,Protein 1,L-Glutamic Acid,,,
C01,Sample,AG 1,Protein 1,D-Glucose-6-Phosphate,,,
C02,Sample,AG 1,Protein 1,D-Galactonic Acid-gamma-Lactone,,,
C03,Sample,AG 1,Protein 1,DL-Malic Acid,,
C04,Sample,AG 1,Protein 1,D-Ribose,,,
C05,Sample,AG 1,Protein 1,Tween 20,,,
C06,Sample,AG 1,Protein 1,L-Rhamnose,,,
C07,Sample,AG 1,Protein 1,D-Fructose,,,
C08,Sample,AG 1,Protein 1,Acetic Acid,,,
C09,Sample,AG 1,Protein 1,alpha-D-Glucose,,,
C10,Sample,AG 1,Protein 1,Maltose,,,
C11,Sample,AG 1,Protein 1,D-Melibiose,,,
C12,Sample,AG 1,Protein 1,Thymidine,,,
D01,Sample,AG 1,Protein 1,L-Asparagine,,,
D02,Sample,AG 1,Protein 1,D-Aspartic Acid,,,
D03,Sample,AG 1,Protein 1,D-Glucosaminic Acid,,,
D04,Sample,AG 1,Protein 1,1_2-Propanediol,,
D05,Sample,AG 1,Protein 1,Tween 40,,,
D06,Sample,AG 1,Protein 1,alpha-Keto-Glutaric Acid,,,
