Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
A01,Reference,AG 1,Protein 1,Negative Control,,,
A02,Sample,AG 1,Protein 1,Chondroitin Sulfate C,,,
A03,Sample,AG 1,Protein 1,aplha-Cyclodextrin,,,
A04,Sample,AG 1,Protein 1,beta-Cyclodextrin,,,
A05,Sample,AG 1,Protein 1,gamma-Cyclodextrin,,,
A06,Sample,AG 1,Protein 1,Dextrin,,,
A07,Sample,AG 1,Protein 1,Gelatin,,,
A08,Sample,AG 1,Protein 1,Glycogen,,,
A09,Sample,AG 1,Protein 1,Inulin,,,
A10,Sample,AG 1,Protein 1,Laminarin,,,
A11,Sample,AG 1,Protein 1,Mannan,,,
A12,Sample,AG 1,Protein 1,Pectin,,,
B01,Sample,AG 1,Protein 1,N-Acetyl-D-Galactosamine,,,
B02,Sample,AG 1,Protein 1,N-Acetyl-Neuraminic Acid,,,
B03,Sample,AG 1,Protein 1,beta-D-Allose,,,
B04,Sample,AG 1,Protein 1,Amygdalin,,,
B05,Sample,AG 1,Protein 1,D-Arabinose,,,
B06,Sample,AG 1,Protein 1,D-Arabitol,,,
B07,Sample,AG 1,Protein 1,L-Arabitol,,,
B08,Sample,AG 1,Protein 1,Arbutin,,,
B09,Sample,AG 1,Protein 1,2-Deoxy-D-Ribose,,,
B10,Sample,AG 1,Protein 1,i-Erythritol,,,
B11,Sample,AG 1,Protein 1,D-Fucose,,,
B12,Sample,AG 1,Protein 1,B12 3-0-beta-D-Galacto-pyranosyl-D-Arabinose,,,
C01,Sample,AG 1,Protein 1,Gentiobiose,,,
C02,Sample,AG 1,Protein 1,L-Glucose,,,
C03,Sample,AG 1,Protein 1,Lactitol,,,
C04,Sample,AG 1,Protein 1,D-Melezitose,,,
C05,Sample,AG 1,Protein 1,Maltitol,,,
C06,Sample,AG 1,Protein 1,alpha-Methyl-D-Glucoside,,,
C07,Sample,AG 1,Protein 1,beta-Methyl-D-Galactoside,,,
C08,Sample,AG 1,Protein 1,3-Methyl Glucose,,,
C09,Sample,AG 1,Protein 1,beta-Methyl-D-Glucuronic Acid,,,
C10,Sample,AG 1,Protein 1,alpha-Methyl-D-Mannoside,,,
C11,Sample,AG 1,Protein 1,beta-Methyl-D-Xyloside,,,
C12,Sample,AG 1,Protein 1,Palatinose,,,
D01,Sample,AG 1,Protein 1,D-Raffinose,,,
D02,Sample,AG 1,Protein 1,Salicin,,,
D03,Sample,AG 1,Protein 1,Sedoheptulosan,,,
D04,Sample,AG 1,Protein 1,L-Sorbose,,,
D05,Sample,AG 1,Protein 1,Stachyose,,,
D06,Sample,AG 1,Protein 1,D-Tagatose,,,
D07,Sample,AG 1,Protein 1,Turanose,,,
D08,Sample,AG 1,Protein 1,Xylitol,,,
D09,Sample,AG 1,Protein 1,N-Acetyl-D-Glucosaminitol,,,
D10,Sample,AG 1,Protein 1,gamma-Amino Butyric Acid,,,
D11,Sample,AG 1,Protein 1,delta-Amino Valeric Acid,,,
D12,Sample,AG 1,Protein 1,Butyric Acid,,,
E01,Sample,AG 1,Protein 1,Capric Acid,,,
E02,Sample,AG 1,Protein 1,Caproic Acid,,,
E03,Sample,AG 1,Protein 1,Citraconic Acid,,,
E04,Sample,AG 1,Protein 1,Citramalic Acid,,,
E05,Sample,AG 1,Protein 1,D-Glucosamine,,,
E06,Sample,AG 1,Protein 1,2-Hydroxy Benzoic Acid,,,
E07,Sample,AG 1,Protein 1,4-Hydroxy Benzoic Acid,,,
E08,Sample,AG 1,Protein 1,beta-Hydroxy Butyric Acid,,,
