Well,Task,Analysis Group,Protein,Ligand,Buffer,Salt,Omit
A01,Reference,AG 1,Protein 1,Negative Control,,,
A02,Sample,AG 1,Protein 1,Ammonia,,,
A03,Sample,AG 1,Protein 1,Nitrite,,,
A04,Sample,AG 1,Protein 1,Nitrate,,,
A05,Sample,AG 1,Protein 1,Urea,,,
A06,Sample,AG 1,Protein 1,Biuret,,,
A07,Sample,AG 1,Protein 1,L-Alanine,,,
A08,Sample,AG 1,Protein 1,L-Arginine,,,
A09,Sample,AG 1,Protein 1,L-Asparagine,,,
A10,Sample,AG 1,Protein 1,L-Aspartic Acid,,,
A11,Sample,AG 1,Protein 1,L-Cysteine,,,
A12,Sample,AG 1,Protein 1,L-Glutamic Acid,,,
B01,Sample,AG 1,Protein 1,L-Glutamine,,,
B02,Sample,AG 1,Protein 1,Glycine,,,
B03,Sample,AG 1,Protein 1,L-Histidine,,,
B04,Sample,AG 1,Protein 1,L-Isoleucine,,,
B05,Sample,AG 1,Protein 1,L-Leucine,,,
B06,Sample,AG 1,Protein 1,L-Lysine,,,
B07,Sample,AG 1,Protein 1,L-Methionine,,,
B08,Sample,AG 1,Protein 1,L-Phenylalanine,,,
B09,Sample,AG 1,Protein 1,L-Proline,,,
B10,Sample,AG 1,Protein 1,L-Serine,,,
B11,Sample,AG 1,Protein 1,L-Threonine,,,
B12,Sample,AG 1,Protein 1,L-Tryptophan,,,
C01,Sample,AG 1,Protein 1,L-Tyrosine,,,
C02,Sample,AG 1,Protein 1,L-Valine,,,
C03,Sample,AG 1,Protein 1,D-Alanine,,,
C04,Sample,AG 1,Protein 1,D-Asparagine,,,
C05,Sample,AG 1,Protein 1,D-Aspartic Acid,,,
C06,Sample,AG 1,Protein 1,D-Glutamic Acid,,,
C07,Sample,AG 1,Protein 1,D-Lysine,,,
C08,Sample,AG 1,Protein 1,D-Serine,,,
C09,Sample,AG 1,Protein 1,D-Valine,,,
C10,Sample,AG 1,Protein 1,L-Citrulline,,,
C11,Sample,AG 1,Protein 1,L-Homoserine,,,
C12,Sample,AG 1,Protein 1,L-Ornithine,,,
D01,Sample,AG 1,Protein 1,N-Acetyl-L-Glutamic Acid,,,
D02,Sample,AG 1,Protein 1,N-Phthaloyl-L-Glutamic Acid,,,
D03,Sample,AG 1,Protein 1,L-Pyroglutamic Acid,,,
D04,Sample,AG 1,Protein 1,Hydroxylamine,,,
D05,Sample,AG 1,Protein 1,Methylamine,,,
D06,Sample,AG 1,Protein 1,N-Amylamine,,,
D07,Sample,AG 1,Protein 1,N-Butylamine,,,
D08,Sample,AG 1,Protein 1,Ethylamine,,,
D09,Sample,AG 1,Protein 1,Ethanolamine,,,
D10,Sample,AG 1,Protein 1,Ethylenediamine,,,
D11,Sample,AG 1,Protein 1,Putrescine,,,
D12,Sample,AG 1,Protein 1,Agmatine,,,
E01,Sample,AG 1,Protein 1,Histamine,,,
E02,Sample,AG 1,Protein 1,beta-Phenylethyl- amine,,,
E03,Sample,AG 1,Protein 1,Tyramine,,,
E04,Sample,AG 1,Protein 1,Acetamide,,,
E05,Sample,AG 1,Protein 1,Formamide,,,
E06,Sample,AG 1,Protein 1,Glucuronamide,,,
E07,Sample,AG 1,Protein 1,DL-Lactamide,,,
E08,Sample,AG 1,Protein 1,D-Glucosamine,,,
E09,Sample,AG 1,Protein 1,D-Galactosamine,,,
E10,Sample,AG 1,Protein 1,D-Mannosamine,,,
E11,Sample,AG 1,Protein 1,N-Acetyl-D-Glucosamine,,,
E12,Sample,AG 1,Protein 1,N-Acetyl-D-Galactosamine,,,
F01,Sample,AG 1,Protein 1,N-Acetyl-D-Mannosamine,,,
F02,Sample,AG 1,Protein 1,Adenine,,,
F03,Sample,AG 1,Protein 1,Adenosine,,,
F04,Sample,AG 1,Protein 1,Cytidine,,,
F05,Sample,AG 1,Protein 1,Cytosine,,,
F06,Sample,AG 1,Protein 1,Guanine,,,
F07,Sample,AG 1,Protein 1,Guanosine,,,
F08,Sample,AG 1,Protein 1,Thymine,,,
F09,Sample,AG 1,Protein 1,Thymidine,,,
F10,Sample,AG 1,Protein 1,Uracil,,,
F11,Sample,AG 1,Protein 1,Uridine,,,
F12,Sample,AG 1,Protein 1,Inosine,,,
G01,Sample,AG 1,Protein 1,Xanthine,,,
G02,Sample,AG 1,Protein 1,Xanthosine,,,
G03,Sample,AG 1,Protein 1,Uric Acid,,,
G04,Sample,AG 1,Protein 1,Alloxan,,,
G05,Sample,AG 1,Protein 1,Allantoin,,,
G06,Sample,AG 1,Protein 1,Parabanic Acid,,,
G07,Sample,AG 1,Protein 1,DL-alpha-Amino-N-Butyric Acid,,,
G08,Sample,AG 1,Protein 1,gamma-Amino-N-Butyric Acid,,,
G09,Sample,AG 1,Protein 1,epsilon-Amino-N-Caproic Acid,,,
G10,Sample,AG 1,Protein 1,DL-alpha-Amino- Caprylic Acid,,,
G11,Sample,AG 1,Protein 1,delta-Amino-N-Valeric Acid,,,
G12,Sample,AG 1,Protein 1,alpha-Amino-N-Valeric Acid,,,
H01,Sample,AG 1,Protein 1,Ala-Asp,,,
H02,Sample,AG 1,Protein 1,Ala-Gln,,,
H03,Sample,AG 1,Protein 1,Ala-Glu,,,
H04,Sample,AG 1,Protein 1,Ala-Gly,,,
H05,Sample,AG 1,Protein 1,Ala-His,,,
H06,Sample,AG 1,Protein 1,Ala-Leu,,,
H07,Sample,AG 1,Protein 1,Ala-Thr,,,
H08,Sample,AG 1,Protein 1,Gly-Asn,,,
H09,Sample,AG 1,Protein 1,Gly-Gln,,,
H10,Sample,AG 1,Protein 1,Gly-Glu,,,
H11,Sample,AG 1,Protein 1,Gly-Met,,,
H12,Sample,AG 1,Protein 1,Met-Ala,,,
